event_id,event_type,event_tags,event_timestamp_local,event_title,event_status
AwAAAZSvx8rwEE4pfgAAABhBWlN2eDgyWkFBQ0tfZG5EMEF1ZVZFZ08AAAAkMDE5NGIwMzctMWVmMC00YzM2LTllY2YtMjcyNDFkNzNiOGFlAABMJA,event,"criticality:prod, env:dev, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:fin",2025-01-29 09:58:14,[Warn] [TRMS FIN UI PROD Azure App Service] Response Time Monitor - FIN,warning
AwAAAZSvx7OAYrKbvgAAABhBWlN2eDdjREFBQVhNSzRKS3lMekhocmYAAAAkMDE5NGIwMzctMWVmMC00YzM2LTllY2YtMjcyNDFkNzNiOGFlAABMIw,event,"criticality:prod, env:dev, env:prod, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:, team:fin",2025-01-29 09:58:08,[Warn] [TRMS PROD UI Azure App Service] Response Time Monitor - FIN,warning
AwAAAZSvv5F4hMOMjQAAABhBWlN2djVKaEFBQWJpRjcyVE80cV93YjkAAAAkMDE5NGIwMzctMWVmMC00YzM2LTllY2YtMjcyNDFkNzNiOGFlAABMFQ,event,"criticality:prod, env:dev, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:fin",2025-01-29 09:49:15,[Triggered] [TRMS FIN UI PROD Azure App Service] Response Time Monitor - FIN,error
AwAAAZSvv3oISuHCbAAAABhBWlN2djNxTUFBQzJCMGxxWDBFNS1LSmMAAAAkMDE5NGIwMzctMWVmMC00YzM2LTllY2YtMjcyNDFkNzNiOGFlAABMFA,event,"criticality:prod, env:dev, env:prod, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:, team:fin",2025-01-29 09:49:09,[Triggered] [TRMS PROD UI Azure App Service] Response Time Monitor - FIN,error
AwAAAZSvvsZYbnPOlgAAABhBWlN2dnNmREFBQl92Rlk5ZmNVZUo1VXcAAAAkMDE5NGIwMzctMWVmMC00YzM2LTllY2YtMjcyNDFkNzNiOGFlAABMEw,event,"criticality:prod, env:dev, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:fin",2025-01-29 09:48:23,[Warn] [TRMS FIN UI PROD Azure App Service] Response Time Monitor - FIN,warning
AwAAAZSvvo-oN6R4mAAAABhBWlN2dnBKV0FBQmYyTXg0M1BjR1lXSlYAAAAkMDE5NGIwMzctMWVmMC00YzM2LTllY2YtMjcyNDFkNzNiOGFlAABMEg,event,"criticality:prod, env:dev, env:prod, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:, team:fin",2025-01-29 09:48:09,[Warn] [TRMS PROD UI Azure App Service] Response Time Monitor - FIN,warning
AwAAAZSvnbGYyatgFAAAABhBWlN2bmd0U0FBRHE3dHZLNFQ4aEpJbmYAAAAkMDE5NGIwMzctMWVmMC00YzM2LTllY2YtMjcyNDFkNzNiOGFlAABLqA,event,"criticality:prod, env:dev, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:fin",2025-01-29 09:12:15,[Recovered] [TRMS FIN UI PROD Azure App Service] Response Time Monitor - FIN,success
AwAAAZSvnZooTHLvvwAAABhBWlN2bmZ3R0FBQVBaVWZjQ0hxMzNQd1UAAAAkMDE5NGIwMzctMWVmMC00YzM2LTllY2YtMjcyNDFkNzNiOGFlAABLpw,event,"criticality:prod, env:dev, env:prod, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:, team:fin",2025-01-29 09:12:09,[Recovered] [TRMS PROD UI Azure App Service] Response Time Monitor - FIN,success
AwAAAZSvnMNQMVoD2gAAABhBWlN2bk1iSkFBQXBBNnRfblNuTnJCRnAAAAAkMDE5NGIwMzctMWVmMC00YzM2LTllY2YtMjcyNDFkNzNiOGFlAABLow,event,"criticality:prod, env:dev, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:fin",2025-01-29 09:11:14,[Warn] [TRMS FIN UI PROD Azure App Service] Response Time Monitor - FIN,warning
AwAAAZSvnK_InaYD2gAAABhBWlN2bkxFeUFBQnFkcDJORDBoZ09PUFEAAAAkMDE5NGIwMzctMWVmMC00YzM2LTllY2YtMjcyNDFkNzNiOGFlAABLoQ,event,"criticality:prod, env:dev, env:prod, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:, team:fin",2025-01-29 09:11:09,[Warn] [TRMS PROD UI Azure App Service] Response Time Monitor - FIN,warning
AwAAAZSvlIXwzw8pfgAAABhBWlN2bElzbUFBQ2dNTGduWkRWUXByaEMAAAAkMDE5NGIwMzctMWVmMC00YzM2LTllY2YtMjcyNDFkNzNiOGFlAABLZA,event,"criticality:prod, env:dev, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:fin",2025-01-29 09:02:14,[Triggered] [TRMS FIN UI PROD Azure App Service] Response Time Monitor - FIN,error
AwAAAZSvlG6Ac1t8uAAAABhBWlN2bEhGNUFBRGVHaU9Pdm82X0hhYzYAAAAkMDE5NGIwMzctMWVmMC00YzM2LTllY2YtMjcyNDFkNzNiOGFlAABLYw,event,"criticality:prod, env:dev, env:prod, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:, team:fin",2025-01-29 09:02:08,[Triggered] [TRMS PROD UI Azure App Service] Response Time Monitor - FIN,error
AwAAAZSvk594Jrnp4gAAABhBWlN2azZEVUFBREdyTDRVcWZaMjdXX1kAAAAkMDE5NGIwMzctMWVmMC00YzM2LTllY2YtMjcyNDFkNzNiOGFlAABLXA,event,"criticality:prod, env:dev, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:fin",2025-01-29 09:01:15,[Warn] [TRMS FIN UI PROD Azure App Service] Response Time Monitor - FIN,warning
AwAAAZSvk4QgXtkxNAAAABhBWlN2azRoU0FBQjdnemQ4QnBNeHlMTlYAAAAkMDE5NGIwMzctMWVmMC00YzM2LTllY2YtMjcyNDFkNzNiOGFlAABLWw,event,"criticality:prod, env:dev, env:prod, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:, team:fin",2025-01-29 09:01:08,[Warn] [TRMS PROD UI Azure App Service] Response Time Monitor - FIN,warning
AwAAAZSvj_IQ543HngAAABhBWlN2al9XM0FBQmVZRGZpSU9HVU5tbjQAAAAkMDE5NGIwMzctMWVmMC00YzM2LTllY2YtMjcyNDFkNzNiOGFlAABLWA,event,"criticality:prod, env:dev, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:fin",2025-01-29 08:57:14,[Recovered] [TRMS FIN UI PROD Azure App Service] Response Time Monitor - FIN,success
AwAAAZSvj96IhUUnjQAAABhBWlN2ajktTkFBQzNFOUYydzhPT21nRFkAAAAkMDE5NGIwMzctMWVmMC00YzM2LTllY2YtMjcyNDFkNzNiOGFlAABLVw,event,"criticality:prod, env:dev, env:prod, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:, team:fin",2025-01-29 08:57:09,[Recovered] [TRMS PROD UI Azure App Service] Response Time Monitor - FIN,success
AwAAAZSvh7SwNV0OUgAAABhBWlN2aDdkb0FBQ1BicDZlX0hGVFNyOUkAAAAkMDE5NGIwMzctMWVmMC00YzM2LTllY2YtMjcyNDFkNzNiOGFlAABLSg,event,"criticality:prod, env:dev, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:fin",2025-01-29 08:48:14,[Triggered] [TRMS FIN UI PROD Azure App Service] Response Time Monitor - FIN,error
AwAAAZSvh51A-I4FqwAAABhBWlN2aDZDTEFBQ2lsR0FtQUNnZF9tQUUAAAAkMDE5NGIwMzctMWVmMC00YzM2LTllY2YtMjcyNDFkNzNiOGFlAABLSQ,event,"criticality:prod, env:dev, env:prod, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:, team:fin",2025-01-29 08:48:08,[Triggered] [TRMS PROD UI Azure App Service] Response Time Monitor - FIN,error
AwAAAZSvhspQ6mwiLwAAABhBWlN2aHM1RUFBQ3E2Ymtaa1lKUDNWRGwAAAAkMDE5NGIwMzctMWVmMC00YzM2LTllY2YtMjcyNDFkNzNiOGFlAABLRg,event,"criticality:prod, env:dev, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:fin",2025-01-29 08:47:14,[Warn] [TRMS FIN UI PROD Azure App Service] Response Time Monitor - FIN,warning
AwAAAZSvhrbI0zZgFAAAABhBWlN2aHJmWkFBQ205c08xcnpJbFJBVEgAAAAkMDE5NGIwMzctMWVmMC00YzM2LTllY2YtMjcyNDFkNzNiOGFlAABLRQ,event,"criticality:prod, env:dev, env:prod, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:, team:fin",2025-01-29 08:47:09,[Warn] [TRMS PROD UI Azure App Service] Response Time Monitor - FIN,warning
AwAAAZSvSmVgYDjW-gAAABhBWlN2U21rbEFBQVZfOVBmZXpwaGNFUnIAAAAkMDE5NGFmNWItODgxOC00ODdiLTg1OWUtZjRlYjUxMTFiMDA5AAA0hg,event,"criticality:prod, env:dev, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:fin",2025-01-29 07:41:16,[Recovered] [TRMS FIN UI PROD Azure App Service] Response Time Monitor - FIN,success
AwAAAZSvSkoIx1RXAAAAABhBWlN2U2swZ0FBRHFJV1Ffc1lPOEhhb0QAAAAkMDE5NGFmNWItODgxOC00ODdiLTg1OWUtZjRlYjUxMTFiMDA5AAA0hQ,event,"criticality:prod, env:dev, env:prod, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:, team:fin",2025-01-29 07:41:09,[Recovered] [TRMS PROD UI Azure App Service] Response Time Monitor - FIN,success
AwAAAZSvQT2gmx0njQAAABhBWlN2UVVEaEFBQXB1dV9CSmRnR2NlZVkAAAAkMDE5NGFmNWItODgxOC00ODdiLTg1OWUtZjRlYjUxMTFiMDA5AAA0dg,event,"criticality:prod, env:dev, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:fin",2025-01-29 07:31:16,[Warn] [TRMS FIN UI PROD Azure App Service] Response Time Monitor - FIN,warning
AwAAAZSvQSYwedyzxgAAABhBWlN2UVNmSkFBQ2dObUFJRHdSbkU5aF8AAAAkMDE5NGFmNWItODgxOC00ODdiLTg1OWUtZjRlYjUxMTFiMDA5AAA0dQ,event,"criticality:prod, env:dev, env:prod, integration:azure, integration:azure_app_services, monitor, name:as-trms-ui-prd-sea, service:_trms, source:alert, team:, team:fin",2025-01-29 07:31:10,[Warn] [TRMS PROD UI Azure App Service] Response Time Monitor - FIN,warning
AwAAAZSvKOsQyeN8iAAAABhBWlN2S096WUFBQnZZMUw1RF9uZUxyWjAAAAAkMDE5NGFmNWItODgxOC00ODdiLTg1OWUtZjRlYjUxMTFiMDA5AAAwRQ,event,"criticality:prod, dd_agent_key:adb, dd_agent_pythonv:3.12.6, dd_agent_version:7.59.0, domain_name:adb.local, env:prod, host:wpwvd-trms-1.adb.local, ip_subnet2:10.112, ip_subnet3:10.112.126, ip_subnet:10, monitor, os_version:windows_server_2019_datacenter, os_version_release:windows_server_2019_datacenter, os_version_windows:10.0_build_17763, platform:windows, region:azure, risk:financial, role:avd, service:trms, source:alert, system:trms, team:cyber_agents, team:windows",2025-01-29 07:04:42,[Recovered on {host:wpwvd-trms-1.adb.local}] Nessus Agent in Windows Server wpwvd-trms-1.adb.local Stopped Running - Cyber,success
AwAAAZSvKNtwT4N7OQAAABhBWlN2S05fWkFBQkdVS0Rka29hUWtYNTgAAAAkMDE5NGFmNWItODgxOC00ODdiLTg1OWUtZjRlYjUxMTFiMDA5AAA0tQ,event,"criticality:prod, dd_agent_key:adb, dd_agent_pythonv:3.12.6, dd_agent_version:7.59.0, domain_name:adb.local, env:prod, host:wpwvd-trms-1.adb.local, ip_subnet2:10.112, ip_subnet3:10.112.126, ip_subnet:10, monitor, os_version:windows_server_2019_datacenter, os_version_release:windows_server_2019_datacenter, os_version_windows:10.0_build_17763, platform:windows, region:azure, risk:financial, role:avd, service:trms, source:alert, system:trms, team:risk, team:windows",2025-01-29 07:04:38,[P1] [Recovered] Host Uptime Monitor:TRMS - FIN,success
